Command : [ .\participant.py info -a 5 ]
Total rows: 5
p_id | p_name         | major_work | profession                
---------------------------------------------------------------
53   | Robert Mitchum | 0039689    | actor, producer, writer   
92   | John Cleese    | 0095159    | actor, producer, writer   
100  | Rowan Atkinson | 0274166    | actor, producer, writer   
228  | Kevin Spacey   | 0119488    | actor, producer, writer   
231  | Oliver Stone   | 0091763    | director, producer, writer

Command : [ .\participant.py info -i 92 ]
Total rows: 1
p_id | p_name      | major_work | profession             
---------------------------------------------------------
92   | John Cleese | 0095159    | actor, producer, writer

Command : [ .\participant.py info -n john Cleese ]
Total rows: 1
p_id | p_name      | major_work | profession             
---------------------------------------------------------
92   | John Cleese | 0095159    | actor, producer, writer

Command : [ .\participant.py info -pr actor ]
Total rows: 466
p_id     | p_name                          | major_work | profession                                     
---------------------------------------------------------------------------------------------------------
675340   | Ty Perry                        | 0043233    | actor, producer                                
685142   | Paulo Pires                     | 0229881    | actor, archive_footage                         
692927   | Oliver Postgate                 | 0070970    | actor, director, writer                        
695831   | Doug Preis                      | 0187819    | actor, producer, writer                        
698444   | Rajko Prodanovic                | 0090524    | actor                                          
698512   | Janos Prohaska                  | 0060028    | actor, archive_footage, stunts                 
700529   | Julian Pulvermacher             | 0348150    | actor                                          
708698   | Lázaro Ramos                    | 10395866   | actor, director, writer                        
710884   | David Rappaport                 | 0081633    | actor, soundtrack, writer                      
719535   | Gino Renni                      | 0220195    | actor, archive_footage                         
722619   | Griff Rhys Jones                | 0088475    | actor, producer, writer                        
723218   | Juan Carlos Ricci               | 0494732    | actor, writer                                  
724656   | Kevin Michael Richardson        | 0113855    | actor, miscellaneous, music_department         
726167   | Thure Riefenstein               | 1740299    | actor, director, producer                      
730168   | Sam Robards                     | 0212720    | actor, producer                                
730419   | Marty Robbins                   | 3593684    | actor, music_artist, music_department          
746125   | Brandon Routh                   | 0348150    | actor, archive_footage, producer               
749008   | Álvaro Rudolphy                 | 1500561    | actor, director, writer                        
752490   | Daniel Ryan                     | 8425404    | actor                                          
753486   | Ryu Seung-beom                  | 1843120    | actor, archive_footage                         
760254   | Jeffrey D. Sams                 | 11238096   | actor                                          
761809   | Martyn Sanderson                | 0120737    | actor, director, writer                        
762191   | Nick Sandow                     | 2372162    | actor, director, producer                      
771706   | Nikolaus Schilling              | 1568967    | actor, archive_footage                         
781493   | Martín Seefeld                  | 5133308    | actor, producer, writer                        
782840   | Tomokazu Seki                   | 1910272    | actor, miscellaneous, soundtrack               
788958   | Bo Sharon                       | 0098802    | actor                                          
